,importance_mean,importance_std,variable
0,0.028381627609098993,0.0013111698590103544,PCA_1
1,0.022304188924615477,0.0012514832070572599,PCA_2
2,0.012009401474648285,0.0005832865413621053,PCA_3
3,0.06892677974818687,0.0022187178955216337,PCA_4
4,0.043585872957514614,0.0024506619583427153,minimum_free_energy
5,0.008186909140376498,0.0007142786542122462,mutated_dna_0
6,0.02002106219462141,0.0006861895198032359,mutated_dna_1
7,0.020550689753430308,0.002249342724435954,mutated_dna_2
8,0.09927718458057029,0.0015333044086711964,mutated_dna_3
9,0.07961501112032092,0.0027069101406864164,mutated_dna_4
10,0.002874695419979467,0.0004141389406533272,mutated_dna_5
11,0.06844265678500497,0.0037331769990639123,mutated_dna_6
12,0.7571680561140884,0.026432098181915643,mutated_dna_7
13,0.30564253144448894,0.005983398181122776,mutated_dna_8
14,0.34019704336351825,0.008337632234621577,fn_638
15,0.7254268168331984,0.018836659398105263,fn_635
16,0.03523627508611347,0.0012033606489428505,fn_28
